Date,Close,High,Low,Open,Volume
2016-02-03,45.671836853027344,46.74883720936656,44.883786182443295,46.62625229176204,57559800
2016-02-04,45.53175354003906,46.24099936495791,44.98011789843552,45.61931326846333,46987100
2016-02-05,43.92062759399414,45.53175123276095,43.39526256969188,45.47921339425498,62009000
2016-02-08,43.2639274597168,43.40402504752048,42.19568126509491,43.38651243152128,59290500
2016-02-09,43.15007400512695,43.990662421734655,42.61595119400991,42.92241679950057,46740500
2016-02-10,43.52660751342773,44.12202306236188,43.3602426812981,43.68421770815676,38237000
2016-02-11,43.509090423583984,43.87684862019152,42.475869626710114,42.62472516872894,48878600
2016-02-12,44.21833801269531,44.37594819757949,43.56163002240776,43.99943534926613,34243300
2016-02-16,45.0561408996582,45.0561408996582,44.20952015422154,44.888581595094216,37291200
2016-02-17,46.22906112670898,46.53772724211258,45.373622917221226,45.40889962141107,40789000
2016-02-18,46.02622222900391,46.69646610976845,45.94685133165473,46.14969068590266,27176000
2016-02-19,45.69992446899414,46.10559647864308,45.44417340736566,45.83221042891831,33559100
2016-02-22,46.43190002441406,46.74056277252624,46.1055955602136,46.1055955602136,25008300
2016-02-23,45.13549423217773,46.18495057902912,44.959114137838974,46.15849474233798,28895300
2016-02-24,45.29424285888672,45.41770793442167,44.27124219337726,44.7033699577496,33014500
2016-02-25,45.94684982299805,45.94684982299805,44.63282467735026,45.62054875090832,26939500
2016-02-26,45.241329193115234,46.45834836539523,45.06494906661259,46.387794969125736,35975900
2016-02-29,44.87095260620117,45.550014188782754,44.676934049985725,45.28544220697169,31654000
2016-03-01,46.37016296386719,46.37898045688192,44.90621017474489,44.95030773233248,33024500
2016-03-02,46.69647216796875,46.70528966251973,45.99977235242479,46.2202467220902,29289900
2016-03-03,46.167327880859375,46.71410669504856,45.6646466283289,46.71410669504856,24427800
2016-03-04,45.8851203918457,46.255519047167645,45.60291349453927,46.211424850245685,33034200
2016-03-07,45.00321578979492,45.682277078995625,44.60636471687841,45.47062362199629,38407800
2016-03-08,45.54999923706055,45.97330955916575,44.62400433302331,44.80038447494332,33835100
2016-03-09,46.59945297241211,46.60827046508327,45.73519403127752,45.76164987346218,28251600
2016-03-10,45.90274810791016,46.68763606944806,45.11786014637225,46.67881857777529,38387800
2016-03-11,46.80228805541992,46.80228805541992,46.19378014754768,46.740555515382354,32275700
2016-03-14,46.89047622680664,47.26087482954172,46.41425425782026,46.48480429004484,24083600
2016-03-15,47.26088333129883,47.26088333129883,46.51127186268832,46.5200893567384,21104800
2016-03-16,47.931129455566406,48.15160383827679,47.09332949260467,47.137423696312325,31691700
2016-03-17,48.20451736450195,48.50436264999608,47.62246514726888,47.80766281544032,28223900
2016-03-18,47.17269515991211,48.47790295673349,47.13741845519949,48.433805393756856,67625500
2016-03-21,47.49899291992188,47.56072546673163,46.6788280961105,46.96103498557554,23925700
2016-03-22,47.6841926574707,47.84293446029759,47.14623469946533,47.27852065654495,23124100
2016-03-23,47.59599304199219,47.8341056901002,47.39315708934555,47.71945811193616,20129000
2016-03-24,47.80766677856445,47.91349690986858,47.38435634586476,47.48136561747408,19950000
2016-03-28,47.216796875,47.878220054878575,47.03159919203534,47.80766663422217,17025100
2016-03-29,48.24861145019531,48.380897420953474,47.13742207968027,47.32261974740411,23924300
2016-03-30,48.54844284057617,49.068762351581015,48.41616027184878,48.44261611276006,23008300
2016-03-31,48.70719146728516,49.02467505957315,48.38089038150984,48.46026127958184,26360500
2016-04-01,49.00703811645508,49.04231481976095,48.125140718837855,48.54845106599353,24399200
2016-04-04,48.88356399536133,49.08639995567005,48.504347915253845,48.88356399536133,18928800
2016-04-05,48.116329193115234,48.76893146436017,48.02813742391186,48.67192220032246,19272300
2016-04-06,48.61019134521485,48.680744763046754,47.80766472032352,47.93995069667229,21188700
2016-04-07,48.02812576293945,48.424980217570486,47.82528978927719,48.38970351845413,19225100
